Domain,Total URLs,Blacklisted,Whitelisted,For Review,Status
wikifxka.com,1,1,0,0,SUSPICIOUS
fxonline24h.com,1,1,0,0,SUSPICIOUS
scam-alert.com,1,1,0,0,SUSPICIOUS
suspicious-site.com,1,1,0,0,SUSPICIOUS
wikifx.com,1,1,0,0,SUSPICIOUS
pooshakeform.ir,1,0,0,1,MIXED
estilistasonline.com,1,0,0,1,MIXED
easydyor.com,1,0,1,0,TRUSTED
visioneconomica.net,2,0,0,2,MIXED
egnatia.ca,1,0,0,1,MIXED
next-ea.com,1,0,0,1,MIXED
sanjeshbroker.com,1,0,0,1,MIXED
digitalmsn.com,2,0,2,0,TRUSTED
solarkeypoints.com,1,0,1,0,TRUSTED
topbrokeragereviews.com,1,0,0,1,MIXED
sumyourtax.com,1,0,0,1,MIXED
tingfutures.com,1,0,1,0,TRUSTED
cristicristi.ro,1,0,0,1,MIXED
financialedifyhindi.com,2,0,0,2,MIXED
hadzalic.de,1,0,1,0,TRUSTED
forex-fraude.com,1,0,0,1,MIXED
com.pe,2,0,0,2,MIXED
sexshopfantasy.cl,1,0,0,1,MIXED
alphastrategicgrowth.com,4,0,2,2,TRUSTED
pcbtradingservices.store,1,0,0,1,MIXED
nitratextile.com,1,0,0,1,MIXED
forextradingsolutions.info,1,0,0,1,MIXED
dayslinkequipment.com,1,0,0,1,MIXED
brokery-otzovik.com,1,0,0,1,MIXED
uktdom76.ru,1,0,0,1,MIXED
blogspot.com,1,0,1,0,TRUSTED
news-site.com,1,0,1,0,TRUSTED
legit-review.com,1,0,1,0,TRUSTED
example.com,1,0,1,0,TRUSTED
eubizsources.com,4,0,0,4,MIXED
cryptoplanreviews.com,1,0,0,1,MIXED
baswiss.net,1,0,0,1,MIXED
stockwart.com,1,0,0,1,MIXED
cbtrading.es,1,0,0,1,MIXED
top10-forexbrokers.com,4,0,0,4,MIXED
peerresearchltd.com,1,0,1,0,TRUSTED
forexmarketratings.com,1,0,0,1,MIXED
canadianpurehealth.ca,1,0,0,1,MIXED
citibuildersny.com,2,0,0,2,MIXED
tdiamondstores.com,1,0,0,1,MIXED
tradingforex.eu,1,0,0,1,MIXED
admiralcapitals.net,2,0,0,2,MIXED
reviewsanfx.com,1,0,0,1,MIXED
sanuytinonline.com,1,0,0,1,MIXED
positivetrader.org,1,0,0,1,MIXED
co.uk,1,0,0,1,MIXED
mysbroker.com,1,0,1,0,TRUSTED
myfxtrading.online,1,0,0,1,MIXED
almufakira.net,1,0,0,1,MIXED
passiontrading.net,1,0,1,0,TRUSTED
kinhdoanhngoaihoi.com,1,0,0,1,MIXED
amazonaws.com,1,0,1,0,TRUSTED
expressinvest.ru,1,0,0,1,MIXED
zahafx.com,1,0,0,1,MIXED
alphamargins.com,1,0,0,1,MIXED
com.br,1,0,0,1,MIXED
kenhdaututot.com,1,0,0,1,MIXED
fea-trading.com,1,0,0,1,MIXED
nldbroker.com,1,0,0,1,MIXED
fxeye777.com,1,0,0,1,MIXED
admiralmarket.net,1,0,0,1,MIXED
finex.cz,1,0,0,1,MIXED
admirals.group,3,0,3,0,TRUSTED
1822direkt.de,1,0,0,1,MIXED
wikipedia.org,1,0,1,0,TRUSTED
rahaasjad.ee,2,0,1,1,TRUSTED
karollbroker.bg,1,0,0,1,MIXED
n26.com,1,0,0,1,MIXED
vz.lt,1,0,1,0,TRUSTED
gutefrage.net,1,0,1,0,TRUSTED
aljazeera.net,1,0,1,0,TRUSTED
com.pl,2,0,0,2,MIXED
or.ke,1,0,1,0,TRUSTED
bourseensemble.com,1,0,0,1,MIXED
